사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
24-Oct,2호선,240,신촌,83,11,"7,111","3,009","15,103","17,905","37,420","38,722","56,081","90,251","44,320","99,585","44,549","76,438","54,291","71,993","63,298","73,577","67,977","77,633","70,280","68,651","78,447","64,993","98,804","71,500","108,294","91,477","104,969","118,158","72,203","79,921","75,575","50,922","78,497","45,788","75,611","39,193","32,998","26,431","5,832","6,798",7,155,0,0,0,0
24-Oct,2호선,241,이대,32,1,"3,940",917,"9,888","7,222","29,091","17,165","40,228","48,960","26,124","52,896","22,111","42,201","24,151","30,374","31,130","33,235","32,221","36,589","30,339","29,286","36,799","29,355","40,859","31,990","51,365","40,076","47,582","50,394","27,871","37,182","23,792","25,519","25,495","25,649","20,073","24,341","7,154","17,092","1,014","4,293",1,118,0,0,0,0
24-Oct,2호선,242,아현,31,2,"5,109",905,"11,344","4,767","31,166","11,782","42,542","22,818","26,943","14,662","19,496","13,063","18,759","11,525","19,926","13,060","18,556","15,045","17,071","16,105","18,225","18,026","23,343","20,928","21,543","26,762","21,749","35,191","13,812","25,726","10,142","18,139","7,744","16,931","5,751","15,269","2,463","9,226",429,"2,565",1,91,0,1,0,0
24-Oct,2호선,243,충정로(경기대입구),37,1,"3,635","1,121","6,831","6,570","15,890","24,643","22,321","60,303","15,786","27,463","12,460","13,114","13,136","11,903","13,870","12,492","14,312","14,701","14,235","13,156","15,556","13,524","19,627","14,954","33,188","18,585","46,565","22,619","15,682","15,735","11,477","11,553","9,649","11,142","6,600","9,474","3,027","6,281",625,"1,890",0,84,0,1,0,0
24-Oct,2호선,244,용답,18,1,"2,489",366,"3,641","1,228","8,644","2,008","13,676","3,835","8,121","4,684","5,963","3,496","5,122","2,986","5,711","3,469","5,184","4,193","4,733","4,019","4,739","4,912","6,070","6,707","6,004","7,868","4,823","11,301","2,756","7,880","2,156","5,750","1,645","6,753","1,212","5,875",681,"3,649",155,"1,054",0,0,0,0,0,0
24-Oct,2호선,245,신답,26,3,"1,298",126,"2,149",920,"6,211",893,"10,783","1,965","4,823",971,"2,833","1,150","2,360","1,257","2,424","1,508","2,230","1,654","1,967","2,119","1,920","2,955","2,335","3,725","2,282","5,098","2,149","9,530","1,148","6,459",658,"3,765",549,"3,629",410,"3,138",176,"1,761",34,539,0,1,0,0,0,0
24-Oct,2호선,246,신설동,37,1,"1,243",336,"1,583","2,520","5,091","4,945","8,922","12,186","5,888","8,944","5,362","8,199","6,333","7,688","8,058","7,800","8,503","8,025","9,247","7,047","9,849","6,117","10,468","5,498","11,694","6,098","11,949","7,657","4,509","5,240","2,894","3,967","2,772","3,635","1,741","3,351",676,"2,146",143,832,1,138,0,0,0,0
24-Oct,2호선,247,도림천,1,0,378,353,"1,375",887,"3,331","3,691","3,456","5,972","2,408","2,471","2,074","1,614","2,231","1,782","2,315","1,957","1,746","1,748","2,286","2,081","2,426","1,621","2,906","2,041","3,210","2,697","3,639","3,455","1,641","2,717","1,031","1,840",903,"1,631",632,"1,217",261,881,40,292,1,8,0,0,0,0
24-Oct,2호선,248,양천구청,34,1,"5,302",914,"12,575","2,622","32,309","5,245","30,812","9,696","18,464","5,649","13,399","4,923","12,149","5,527","12,095","7,089","10,723","8,358","8,331","9,329","8,162","12,395","9,120","15,498","9,379","21,606","8,799","30,903","4,326","24,377","2,997","14,827","2,636","13,766","2,231","11,202",735,"7,640",146,"2,249",0,53,0,0,0,0
24-Oct,2호선,249,신정네거리,88,2,"9,180",973,"17,733","2,838","49,317","4,650","46,490","11,591","27,176","8,612","19,179","8,015","17,083","9,267","17,354","11,012","15,582","12,088","13,003","13,780","12,256","18,517","13,087","23,890","12,887","32,476","11,526","50,021","7,071","35,838","5,400","20,918","4,571","19,214","3,397","16,517","1,616","10,315",292,"2,598",0,179,0,0,0,0
